1800,31.48601990049751
1801,31.448905472636817
1802,31.463482587064675
1803,31.37741293532338
1804,31.4463184079602
1805,31.562537313432838
1806,31.615970149253734
1807,31.57313432835822
1808,31.37676616915423
1809,31.310447761194027
1810,31.521741293532337
1811,31.481890547263685
1812,31.472736318407957
1813,31.467213930348258
1814,31.516318407960192
1815,31.647412935323384
1816,31.627512437810942
1817,31.721542288557213
1818,31.57472636815921
1819,31.488606965174128
1820,31.560796019900494
1821,31.620597014925373
1822,31.722089552238806
1823,31.770646766169154
1824,31.70900497512438
1825,31.666815920398005
1826,31.59731343283582
1827,31.63358208955224
1828,31.577860696517412
1829,31.559950248756223
1830,31.640099502487566
1831,31.60477611940298
1832,31.5692039800995
1833,31.564328358208954
1834,31.55199004975124
1835,31.674427860696518
1836,31.640696517412934
1837,31.580646766169146
1838,31.641293532338302
1839,31.63174129353234
1840,31.71422885572139
1841,31.729601990049755
1842,31.734179104477615
1843,31.719104477611936
1844,31.77810945273632
1845,31.82547263681592
1846,31.54716417910448
1847,31.61900497512438
1848,31.616716417910453
1849,31.466069651741297
1850,31.635721393034824
1851,31.77298507462687
1852,31.78582089552239
1853,31.784626865671648
1854,31.57308457711443
1855,31.704726368159207
1856,31.71626865671642
1857,31.718258706467665
1858,31.72353233830846
1859,31.693134328358212
1860,31.765721393034823
1861,31.73427860696518
1862,31.670597014925374
1863,31.721542288557217
1864,31.65477611940298
1865,31.61537313432835
1866,31.501144278606958
1867,31.509502487562187
1868,31.252786069651744
1869,31.551791044776124
1870,31.77398009950249
1871,31.710696517412938
1872,31.7818407960199
1873,31.850796019900503
1874,31.89512437810946
1875,31.77562189054727
1876,31.954577114427856
1877,32.02059701492538
1878,31.967064676616925
1879,32.12542288557214
1880,32.116019900497506
1881,32.16298507462687
1882,32.10303482587064
1883,32.23796019900498
1884,32.3671144278607
1885,32.417611940298514
1886,32.46328358208956
1887,32.50457711442785
1888,32.5300497512438
1889,32.51114427860697
1890,32.29104477611939
1891,32.475373134328365
1892,32.478407960199014
1893,32.53308457711442
1894,32.747213930348266
1895,32.8118407960199
1896,32.89522388059701
1897,32.96427860696518
1898,32.99407960199005
1899,32.96298507462688
